,magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude,day,evening,morning,night,Mi,mb,md,ml,ms,mw,mwb,mwc,mww,ak,at,ci,duputel,hv,nc,nn,official,pt,us,uw
106,7.0,7,7,1,1052,0,2.378,35.0,43.0,38.4752,141.607,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
107,6.6,5,5,1,672,0,3.183,18.0,13.23,54.7018,163.208,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
108,6.5,0,4,0,650,0,11.764,25.0,24.0,-28.4792,-176.619,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
109,8.1,9,8,1,1021,0,0.739,21.0,28.93,-29.7466,-177.224,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
110,7.4,3,7,1,843,0,0.437,30.0,43.0,-29.6131,-177.842,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
111,7.3,7,6,1,932,0,0.918,24.0,10.0,-37.596,179.544,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
112,7.1,9,8,1,1612,0,3.085,11.0,43.98,37.6856,141.992,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
113,7.7,9,4,1,918,0,7.989,15.0,10.0,-23.2787,171.489,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
114,6.9,9,5,1,739,0,1.55,16.0,15.0,-61.8484,-55.559,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
115,7.0,7,5,1,802,0,2.821,15.0,80.0,5.0074,127.517,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
116,6.7,8,8,0,776,0,2.043,22.0,10.0,51.2407,100.443,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
117,6.7,5,5,1,776,0,1.319,19.0,10.0,-39.3264,-74.9067,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
118,7.0,8,7,0,1527,0,1.518,18.0,21.0,37.8973,26.7953,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
119,7.6,9,7,1,1165,0,0.23,36.0,28.37,54.662,-159.675,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
120,6.9,0,3,1,732,0,11.255,16.0,10.0,0.9604,-26.8332,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
121,6.5,6,6,0,674,0,0.388,49.0,16.0,-27.9285,-71.3937,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
122,6.8,6,7,1,824,0,0.312,69.0,21.0,-28.013,-71.1958,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
123,6.5,4,5,0,651,0,15.394,31.0,10.0,0.8696,-29.7046,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
124,6.9,4,3,0,749,0,2.267,20.0,624.0,-6.6704,123.493,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
125,6.9,4,4,0,735,0,1.716,25.0,26.0,-4.2791,101.215,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
126,6.8,5,4,0,716,0,1.816,34.0,22.0,-4.3724,101.095,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
127,6.6,9,8,1,784,0,5.128,14.0,10.0,12.0065,124.13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
128,7.8,9,7,1,1111,0,0.621,60.0,28.0,55.1079,-158.477,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
129,7.0,6,7,1,820,0,1.671,18.0,73.0,-7.847,147.755,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
130,6.6,4,2,0,684,0,1.458,14.0,533.76,-5.6368,110.678,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
131,7.4,8,8,1,1494,0,0.151,30.0,20.0,15.9163,-95.9533,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
132,7.4,7,7,1,873,0,4.035,23.0,10.0,-33.2938,-177.838,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
133,6.6,5,4,1,734,0,2.015,18.0,165.0,28.9386,128.262,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
134,6.8,6,6,1,835,0,1.164,21.0,112.0,-23.2966,-68.4204,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
135,6.5,7,8,0,1320,27,0.357,55.79,2.7,38.1689,-117.85,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136,6.6,4,6,1,671,0,3.403,12.0,107.0,-12.0662,166.648,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
137,6.8,4,6,0,738,0,1.921,16.0,96.0,-6.7762,129.785,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
138,6.5,7,6,0,678,0,1.293,19.0,10.0,34.1818,25.7101,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
139,6.5,8,8,0,1410,0,0.885,31.0,12.06,44.4646,-115.118,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
140,7.5,6,5,1,879,0,4.109,12.0,57.8,48.9638,157.695,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
141,7.0,5,6,1,770,0,4.501,25.0,143.0,45.6161,148.959,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
142,7.7,9,6,1,1812,0,1.657,26.0,14.86,19.4193,-78.756,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
143,6.7,8,9,0,1247,0,0.87,49.0,10.0,38.4312,39.0609,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
